game_id,label,source_class,source_username,engine_nonmate_move_count,critical_nonmate_positions_count,time_pressure_positions_count,best_move_ratio,top2_move_ratio,top3_move_ratio,best_move_ratio_in_critical_positions,best_move_ratio_under_time_pressure
0RzqMczL,1,bot,maia9,80,16,27,0.4875,0.575,0.7375,0.625,0.37037037037037035
1Cw9ORZG,1,bot,maia1,36,8,10,0.4444444444444444,0.5277777777777778,0.5833333333333334,0.625,0.3
1Ow2TTvu,0,human,,38,8,11,0.21052631578947367,0.34210526315789475,0.5526315789473685,0.375,0.18181818181818182
1l8gol7G,1,bot,Boris-Trapsky,45,9,9,0.4,0.6444444444444445,0.7555555555555555,0.6666666666666666,0.1111111111111111
2QGJsvYU,1,bot,maia5,66,14,25,0.36363636363636365,0.5757575757575758,0.6818181818181818,0.7142857142857143,0.32
3YP5ygrm,1,bot,simpleEval,85,17,12,0.5647058823529412,0.7647058823529411,0.8235294117647058,0.8823529411764706,0.5
3nZBcFcx,0,human,,64,13,27,0.34375,0.59375,0.65625,0.6153846153846154,0.4074074074074074
4U9hQkO5,0,human,,62,14,22,0.3387096774193548,0.5806451612903226,0.6774193548387096,0.5,0.3181818181818182
4XdOH7vq,0,human,,98,20,12,0.42857142857142855,0.6530612244897959,0.7040816326530612,0.7,0.6666666666666666
4f8UxP39,0,human,,99,20,38,0.42424242424242425,0.5757575757575758,0.7070707070707071,0.85,0.5
4mvvdAHi,1,bot,Boris-Trapsky,75,15,24,0.4533333333333333,0.6533333333333333,0.7066666666666667,0.9333333333333333,0.5416666666666666
4oprdF2Y,1,bot,maia5,40,8,17,0.425,0.55,0.75,0.875,0.35294117647058826
5YkH7xvt,0,human,,48,10,15,0.4583333333333333,0.625,0.75,0.9,0.6
5glLVBCA,1,bot,OpeningsBot,28,6,19,0.35714285714285715,0.6071428571428571,0.75,0.6666666666666666,0.3684210526315789
5hjxOnS8,1,bot,OpeningsBot,119,24,32,0.5042016806722689,0.6722689075630253,0.7815126050420168,0.875,0.5625
7VmqNIj4,1,bot,maia5,34,7,11,0.4411764705882353,0.5294117647058824,0.5588235294117647,1.0,0.36363636363636365
7nDgDPHo,1,bot,maia5,73,16,43,0.3698630136986301,0.5205479452054794,0.6164383561643836,0.75,0.37209302325581395
7yl3qckK,1,bot,OpeningsBot,129,28,43,0.34108527131782945,0.5503875968992248,0.6434108527131783,0.6785714285714286,0.23255813953488372
9Bcf79Q3,1,bot,maia9,45,9,8,0.3333333333333333,0.5333333333333333,0.6444444444444445,0.4444444444444444,0.5
9JHEpppr,1,bot,OpeningsBot,124,25,74,0.4112903225806452,0.7258064516129032,0.7903225806451613,0.76,0.32432432432432434
9f5NdOK1,0,human,,162,33,69,0.41358024691358025,0.5679012345679012,0.6851851851851852,0.6363636363636364,0.4492753623188406
AUUdRQM9,1,bot,OpeningsBot,60,12,19,0.48333333333333334,0.65,0.7333333333333333,0.8333333333333334,0.42105263157894735
BMOVEMrk,0,human,,120,24,63,0.475,0.6083333333333333,0.7416666666666667,0.8333333333333334,0.4603174603174603
BcttHfAZ,0,human,,83,17,9,0.3373493975903614,0.4457831325301205,0.5542168674698795,0.6470588235294118,0.1111111111111111
CDWwP856,0,human,,76,16,34,0.47368421052631576,0.5921052631578947,0.6842105263157895,0.5625,0.5294117647058824
DSZIvFmR,1,bot,Boris-Trapsky,40,8,7,0.525,0.625,0.8,0.875,0.5714285714285714
DV3Eg0pP,0,human,,42,9,18,0.47619047619047616,0.6428571428571429,0.7857142857142857,0.8888888888888888,0.5
FIHrMK1X,1,bot,OpeningsBot,108,22,46,0.48148148148148145,0.6111111111111112,0.7037037037037037,0.7727272727272727,0.4782608695652174
GfKHhR2Y,1,bot,maia9,94,19,26,0.46808510638297873,0.648936170212766,0.7659574468085106,0.8421052631578947,0.4230769230769231
HtaZAPmu,0,human,,132,27,50,0.4621212121212121,0.5984848484848485,0.7272727272727273,0.8518518518518519,0.52
J639pqWz,1,bot,Lynx_BOT,177,36,125,0.5649717514124294,0.7740112994350282,0.8757062146892656,0.8888888888888888,0.496
J7crNnK6,1,bot,maia5,66,13,41,0.36363636363636365,0.5151515151515151,0.6212121212121212,0.46153846153846156,0.3902439024390244
Kp2Gd4vC,0,human,,79,16,13,0.4050632911392405,0.5189873417721519,0.6835443037974683,0.5625,0.23076923076923078
L3tddKmt,1,bot,OpeningsBot,43,9,23,0.5116279069767442,0.6511627906976745,0.8372093023255814,0.6666666666666666,0.5217391304347826
LblTm7bN,1,bot,maia1,56,12,5,0.35714285714285715,0.5357142857142857,0.5892857142857143,0.5833333333333334,0.6
M540gZiK,0,human,,112,23,36,0.5267857142857143,0.6875,0.7589285714285714,0.782608695652174,0.5833333333333334
MXEUbkdu,0,human,,55,11,18,0.2727272727272727,0.43636363636363634,0.5454545454545454,0.7272727272727273,0.05555555555555555
MqNsw8FD,1,bot,simpleEval,55,11,7,0.3090909090909091,0.4909090909090909,0.5818181818181818,0.6363636363636364,0.14285714285714285
N4MtsNN1,1,bot,Boris-Trapsky,57,12,4,0.45614035087719296,0.6491228070175439,0.7368421052631579,0.9166666666666666,0.5
N8R8aAnp,0,human,,42,9,17,0.3333333333333333,0.5238095238095238,0.6190476190476191,0.5555555555555556,0.17647058823529413
Nut3mEt5,0,human,,36,8,2,0.5277777777777778,0.7777777777777778,0.8888888888888888,1.0,1.0
