label,game_id,source_class,source_username,white_elo,black_elo,elo_diff_abs,ply_count,opening_family,clock_tag_count,has_clock_data,move_count_total,avg_move_time,median_move_time,std_move_time,max_move_time,cv_move_time,fast_move_ratio,slow_move_ratio,white_move_count,white_avg_move_time,white_median_move_time,white_std_move_time,white_fast_move_ratio,white_slow_move_ratio,black_move_count,black_avg_move_time,black_median_move_time,black_std_move_time,black_fast_move_ratio,black_slow_move_ratio,wb_avg_time_diff,wb_move_count_diff
1,Q0m6UkMt,bot,OpeningsBot,2512,1790,722,26,SCANDINAVIAN,26,True,24,7.083333333333333,5.0,6.732487570644961,20.0,0.9504688335028181,0.4583333333333333,0.375,12,2.4166666666666665,1.0,5.314419587834174,0.9166666666666666,0.08333333333333333,12,11.75,12.5,4.342138490037676,0.0,0.6666666666666666,-9.333333333333334,0
0,9xZumDd8,human,,2019,2056,37,42,RUY_LOPEZ,42,True,40,3.95,2.0,4.636539657977703,23.0,1.1738075083487856,0.65,0.1,20,4.45,2.0,5.536018424824831,0.65,0.15,20,3.45,2.0,3.4420197558991434,0.65,0.05,1.0,0
1,0ftDtCCq,bot,OpeningsBot,2357,2515,158,138,ENGLISH,138,True,136,7.610294117647059,5.0,8.848539921197407,62.0,1.1627066949592728,0.25735294117647056,0.2426470588235294,68,8.102941176470589,6.0,6.512747016614583,0.17647058823529413,0.3382352941176471,68,7.117647058823529,4.0,10.662647022315394,0.3382352941176471,0.14705882352941177,0.9852941176470598,0
0,iCDVQkDW,human,,1964,1901,63,72,CARO_KANN,72,True,70,11.071428571428571,5.0,17.009511144878772,127.0,1.5363429421180828,0.24285714285714285,0.35714285714285715,35,8.457142857142857,7.0,7.511297613377777,0.2571428571428571,0.3142857142857143,35,13.685714285714285,5.0,22.551238709812345,0.22857142857142856,0.4,-5.228571428571428,0
1,bC1goUqW,bot,maia1,1726,1549,177,49,INDIAN_DEFENSE,49,True,47,3.127659574468085,2.0,3.600336989408345,16.0,1.1511281530761375,0.6382978723404256,0.0851063829787234,24,3.0833333333333335,1.0,4.162497914580726,0.75,0.125,23,3.1739130434782608,2.0,2.8990579266382004,0.5217391304347826,0.043478260869565216,-0.09057971014492727,1
0,PNYfgAlI,human,,2136,2137,1,37,FRENCH,37,True,35,9.114285714285714,6.0,8.7137704765714,34.0,0.9560563218808746,0.2571428571428571,0.3142857142857143,18,10.777777777777779,7.5,9.784088872333918,0.2222222222222222,0.3888888888888889,17,7.352941176470588,4.0,6.995302427727005,0.29411764705882354,0.23529411764705882,3.4248366013071907,1
1,c6WPF8mC,bot,maia5,1434,1610,176,45,FRENCH,45,True,43,2.8372093023255816,1.0,4.665211341747476,20.0,1.644295800779848,0.6511627906976745,0.09302325581395349,22,5.454545454545454,3.5,5.3319557449509745,0.3181818181818182,0.18181818181818182,21,0.09523809523809523,0.0,0.29354352395090366,1.0,0.0,5.359307359307359,1
1,DkOw2MhD,bot,maia1,1761,1615,146,173,FRENCH,173,True,171,3.9005847953216373,4.0,3.1634886560137816,25.0,0.8110293256047326,0.4152046783625731,0.023391812865497075,86,2.5232558139534884,2.0,3.2375943703083383,0.6976744186046512,0.023255813953488372,85,5.294117647058823,5.0,2.3804276897564374,0.12941176470588237,0.023529411764705882,-2.770861833105335,1
1,3YzizUdI,bot,simpleEval,2242,1616,626,51,CARO_KANN,51,True,49,9.83673469387755,8.0,9.651788326999537,55.0,0.9811983983879197,0.16326530612244897,0.3469387755102041,25,7.36,6.0,5.925402939885186,0.16,0.24,24,12.416666666666666,8.5,11.856491424063398,0.16666666666666666,0.4583333333333333,-5.056666666666666,1
1,vRHuQbfE,bot,simpleEval,2220,2321,101,141,PHILIDOR,141,True,139,7.625899280575539,6.0,7.397523775172615,60.0,0.9700526459896165,0.12949640287769784,0.2733812949640288,70,7.142857142857143,6.0,3.606683139022074,0.014285714285714285,0.2714285714285714,69,8.115942028985508,5.0,9.826813704901618,0.2463768115942029,0.2753623188405797,-0.9730848861283645,1
